pitcher,pitch_type,n,naive_in,inferred_in
A.J. Minter,ALL,425,10.543238848093399,9.484504325417117
A.J. Minter,CH,40,12.1113573242875,9.603780534553604
A.J. Minter,FC,238,9.573872031419283,9.381257506223536
A.J. Minter,FF,128,10.530583051191869,9.309648825997673
A.J. Minter,SI,19,12.337659768346816,11.635156458642513
AJ Blubaugh,ALL,1232,11.655248281912126,10.224221968049275
AJ Blubaugh,CH,265,14.90937152922201,11.47693735387292
AJ Blubaugh,CU,13,17.286714754083665,19.178778937703854
AJ Blubaugh,FC,56,15.120284331485415,12.231639260186114
AJ Blubaugh,FF,636,10.813179460160129,9.42546737513811
AJ Blubaugh,ST,262,10.710008576225103,10.150332083458506
AJ Smith-Shawver,ALL,120,10.515668425133214,9.020725208494376
AJ Smith-Shawver,CU,12,11.649027972307572,11.897481398049589
AJ Smith-Shawver,FF,53,7.416936946372012,8.025981566832137
AJ Smith-Shawver,FS,38,12.257031475457499,11.297799262595177
AJ Smith-Shawver,SI,10,7.446048523642057,6.351437043468854
AJ Smith-Shawver,SL,7,10.990242261304468,17.12104333554452
Aaron Ashby,ALL,1113,11.53437326496432,10.906055357224727
Aaron Ashby,CH,120,14.253984825608491,10.859630545709829
Aaron Ashby,CU,241,13.240444929421493,12.116759270305995
Aaron Ashby,FF,24,12.306190044495942,9.894610427380695
Aaron Ashby,SI,572,10.349708028879645,10.108198209739857
Aaron Ashby,SL,156,15.518021918273686,12.198252932208423
Aaron Brooks,ALL,17,12.171404039156394,8.64271202386903
Aaron Brooks,CH,1,14.741559117715502,15.850099099166657
Aaron Brooks,FF,5,3.6582255779985107,6.086259213514509
Aaron Brooks,SI,7,13.008226533504487,7.346434609871194
Aaron Brooks,SL,4,15.925722964810555,15.541942012744212
Aaron Bummer,ALL,288,9.555767825715122,9.016984696041039
Aaron Bummer,CU,61,12.204661825068332,9.133454144419012
Aaron Bummer,FC,30,9.454960075306843,8.112235599623398
Aaron Bummer,FF,20,7.0522639007474535,8.099375865017063
Aaron Bummer,SI,118,8.496027461766744,9.13864616972578
Aaron Bummer,ST,59,12.413001412176602,9.871821681476373
Aaron Civale,ALL,1450,9.792293617128635,8.648930563629456
Aaron Civale,CU,361,9.965231304530805,9.448701941785083
Aaron Civale,FC,527,8.556467907329012,7.9055179204781
Aaron Civale,FF,176,12.73978999537702,8.555049520340287
Aaron Civale,FS,89,10.846393239847389,10.544971251866782
Aaron Civale,SI,245,9.588626028596343,8.717604974204198
Aaron Civale,SL,52,9.636785718460175,9.073579320833044
Aaron Nola,ALL,2075,9.02611189351246,7.96188136970611
Aaron Nola,CH,336,9.034601939577875,7.374460357936326
Aaron Nola,FC,155,8.792041955599261,7.33351159286501
Aaron Nola,FF,498,9.000045221387502,7.751315645080122
Aaron Nola,KC,675,9.701656263399025,8.543441879766043
Aaron Nola,SI,392,8.129324219531696,7.969927412638237
Aaron Nola,SL,19,6.922094774511491,6.279686684474458
Abner Uribe,ALL,706,11.57795898444511,11.25972700457189
Abner Uribe,FF,1,2.6652049766890897,5.631026141397464
Abner Uribe,SI,442,11.664150056186083,11.12447011808005
Abner Uribe,SL,263,11.460125346503105,11.450173348050429
Adam Frazier,ALL,34,14.317748641443705,12.249234244603318
Adam Frazier,CU,4,16.399954364033803,12.079723936421301
Adam Frazier,EP,10,14.881078338657067,13.087200966471748
Adam Frazier,FA,20,13.54281014202405,11.292176614866298
Adam Macko,ALL,355,11.36505276047249,10.026798581665004
Adam Macko,CH,45,16.89743761070581,12.39293960367622
Adam Macko,FF,140,10.35220460292221,9.209824163594753
Adam Macko,KC,26,25.117695153424933,21.927862746841818
Adam Macko,SL,144,10.180980213770793,10.089119018600691
Adrian Del Castillo,ALL,14,17.661822510720423,13.2828459410938
Adrian Del Castillo,CU,6,21.0756693136752,14.717486511487191
Adrian Del Castillo,SL,8,15.452392609851495,10.21492848199
Adrian Houser,ALL,1549,10.649231716429876,9.04469957861381
Adrian Houser,CH,252,13.453549778972208,10.053594123164412
Adrian Houser,CU,110,13.584071219532746,11.95551096994268
Adrian Houser,FF,338,9.228590443907196,8.993536865797473
Adrian Houser,SI,702,10.138204306204717,8.550994116351628
Adrian Houser,SL,147,9.966236478296013,8.210364092161674
Adrian Morejon,ALL,953,10.421273408941227,8.889976058319233
Adrian Morejon,CH,213,14.504664155445997,10.313190645959299
Adrian Morejon,FF,128,9.138538464164032,8.865094450385323
Adrian Morejon,SI,449,9.173654779118428,8.24014889767981
Adrian Morejon,SL,163,9.75966947948582,9.239864862254631
Alan Rangel,ALL,458,10.365657711922362,10.544715844111742
Alan Rangel,CH,171,11.310572863986039,11.534440927595478
Alan Rangel,CU,47,11.963113763707822,11.055307768024695
Alan Rangel,FF,162,9.846483832448381,9.472508185250687
Alan Rangel,SL,78,9.205020044169409,9.48204210268091
Albert Suárez,ALL,751,11.66107053417362,9.739784061653324
Albert Suárez,CH,129,11.365730862942918,8.433228417302725
Albert Suárez,CU,69,12.86418370112783,11.18033239926958
Albert Suárez,FC,158,10.867313955637137,9.926712729160023
Albert Suárez,FF,394,12.084275896483813,9.788956422612502
Albert Suárez,SV,1,19.98286151364857,17.23749985781714
Alec Gamboa,ALL,242,9.750889927330409,9.95614830608179
Alec Gamboa,CH,5,22.332603990273604,19.472654715877514
Alec Gamboa,CU,6,20.862516300743447,17.238258652524717
Alec Gamboa,FF,127,9.223455050291337,9.860823149566551
Alec Gamboa,SI,30,10.316502593029803,9.977310185354021
Alec Gamboa,SL,74,9.519481671635436,9.832865233346539
Alek Jacob,ALL,70,10.179059026872977,9.646824318788212
Alek Jacob,CH,23,14.426766766099497,12.762850056773935
Alek Jacob,FF,31,9.563389589250493,7.573174161468605
Alek Jacob,SI,13,9.280584451652075,10.597331823345925
Alek Jacob,ST,3,10.106522088629156,7.179486134408105
Alek Manoah,ALL,150,13.510938191668945,11.847172633744028
Alek Manoah,CH,56,14.31707376967959,10.589866156335098
Alek Manoah,FF,16,8.136353452592425,10.939768936885107
Alek Manoah,SI,55,12.122335824324617,11.92726652698193
Alek Manoah,SL,23,15.539037523701698,12.349773222698472
Alex Cook,ALL,65,11.834904275280248,11.028296546400384
Alex Cook,CH,7,14.963710188944797,12.033830377783223
Alex Cook,FF,48,11.369925012971096,10.671737345277705
Alex Cook,SL,10,14.650093424229746,10.867380014377748
Alex Hoppe,ALL,501,12.203735979410903,10.493191671137009
Alex Hoppe,CH,5,11.731122373881679,12.713742984496388
Alex Hoppe,FF,196,9.840943515158443,9.654996830487672
Alex Hoppe,SI,91,11.52053714622895,10.363263382967471
Alex Hoppe,SL,209,15.756097112322479,11.593659645424447
Alex Jackson,ALL,14,17.254191139365144,12.692457139327423
Alex Jackson,EP,13,17.56483268861059,12.329009617097007
Alex Jackson,FA,1,14.031575810400255,17.90953515902792
Alex Lange,ALL,853,10.987460625589243,10.447610414664192
Alex Lange,CH,183,11.73148961957007,10.072823916598765
Alex Lange,FC,106,10.2163832886317,10.1905075555578
Alex Lange,FF,88,10.278484738942652,10.126585116408602
Alex Lange,SI,202,9.92837665028143,9.865676234353217
Alex Lange,SL,274,11.930068406226848,11.191219143900447
Alex McFarlane,ALL,74,11.83865154842981,10.66896466034304
Alex McFarlane,FF,23,12.932278897387786,12.494741846455032
Alex McFarlane,SI,23,11.808054429233033,9.030190297025355
Alex McFarlane,SL,14,7.450592096656137,9.740876319627448
Alex McFarlane,ST,14,10.774278393393843,9.097736475010215
Alex Vesia,ALL,716,11.809728700116693,10.586400344826336
Alex Vesia,CH,106,11.94868072240062,11.20067508619221
Alex Vesia,FF,388,12.020133925470747,9.988502763061522
Alex Vesia,SL,222,11.027705261152978,11.221319436876854
Alimber Santa,ALL,230,10.883280088486423,10.137446616888901
Alimber Santa,FF,18,9.817250192186053,12.24382083358742
Alimber Santa,SI,55,13.89121369687637,11.053502924276836
Alimber Santa,SL,72,11.425501734650423,11.459410082075088
Alimber Santa,ST,85,10.351073295161632,8.707984655680951
Andre Granillo,ALL,157,12.815486594270832,11.478864169962186
Andre Granillo,CH,5,22.432802255857982,20.27570398347586
Andre Granillo,FF,38,11.885665734433001,10.112040756343387
Andre Granillo,SI,23,12.245485360885326,12.047660116629121
Andre Granillo,SL,91,13.339439260541551,11.478864169962186
Andre Pallante,ALL,2026,10.960942531448584,10.510146180830375
Andre Pallante,FF,647,9.695096762963361,9.52412505670556
Andre Pallante,FS,60,13.132028460389563,14.177262524533324
Andre Pallante,KC,364,15.763798333179096,14.067671630633773
Andre Pallante,SI,349,10.85530618682489,9.559259366395938
Andre Pallante,SL,606,10.487016762659131,10.160784434686501
Andrew Abbott,ALL,2181,10.440025528463304,9.341888037400143
Andrew Abbott,CH,413,11.12779690032611,9.846737949988762
Andrew Abbott,CU,274,11.087026165507762,10.348707130538415
Andrew Abbott,FC,63,10.207476949998641,8.215572932480727
Andrew Abbott,FF,998,9.576228339831417,8.473746332248936
Andrew Abbott,ST,433,11.30977850948846,10.280895689602174
Andrew Alvarez,ALL,1087,11.141692047860294,10.63037063006231
Andrew Alvarez,CH,41,14.090052090042791,10.887969507704957
Andrew Alvarez,CU,346,12.033681128532917,11.93290649694887
Andrew Alvarez,FF,293,10.312830296955957,9.911923678314894
Andrew Alvarez,SI,153,10.31792363773145,10.171327480999976
Andrew Alvarez,SL,254,10.805752169855502,10.010968909583795
Andrew Hoffmann,ALL,219,11.259928213379496,9.245733800508814
Andrew Hoffmann,CH,61,14.77112571045069,11.369655640670999
Andrew Hoffmann,FF,116,9.396590147666851,7.875701406548512
Andrew Hoffmann,SL,42,14.71969707110858,12.130687203399173
Andrew Kittredge,ALL,513,9.684090273994144,8.863846145300082
Andrew Kittredge,FF,61,11.70375829208543,9.43660426549619
Andrew Kittredge,SI,193,9.996031604131785,8.944436123986126
Andrew Kittredge,SL,259,9.525153481422583,8.710414919388054
Andrew Morris,ALL,870,10.276710527622054,9.36313543704551
Andrew Morris,CH,96,14.110596887205265,10.433115972685096
Andrew Morris,CU,13,12.954230199005922,13.08778651836452
Andrew Morris,FC,180,10.353075643502127,10.412959035174014
Andrew Morris,FF,402,9.275455188802344,8.5896845800574
Andrew Morris,SI,103,7.950370577663026,8.334823757333751
Andrew Morris,ST,76,15.417432577949523,14.25607235426101
Andrew Nardi,ALL,337,11.074088145639303,9.21043041770424
Andrew Nardi,CH,40,13.920035048473617,10.893817043915272
Andrew Nardi,FF,163,8.927449992724492,8.351483682722556
Andrew Nardi,SI,7,7.403295337136902,8.544603225869716
Andrew Nardi,SL,52,12.83553976528047,8.910601179196927
Andrew Nardi,ST,75,14.96439890769645,9.993767844722433
Andrew Painter,ALL,1373,10.607207097814435,9.780486503118738
Andrew Painter,CH,66,11.52379552311368,10.346410176605684
Andrew Painter,CU,104,10.388584270210053,9.677306041974745
Andrew Painter,FF,449,10.995769761018192,9.941952075932036
Andrew Painter,FS,159,11.383869014777646,11.216009189887304
Andrew Painter,SI,123,11.518716488378635,10.678283249009684
Andrew Painter,SL,271,8.323834716224404,8.490707871821057
Andrew Painter,ST,201,9.949411354931014,9.57113385901543
Andrew Vaughn,ALL,19,17.071006094897147,11.885585595259975
Andrew Vaughn,FA,16,16.528491764346516,10.965435395078694
Andrew Vaughn,SL,3,19.272240042288306,19.38968010181923
Andrew Wantz,ALL,79,11.350755189113281,10.7010252385129
Andrew Wantz,CH,3,27.0057271912113,21.281647095076117
Andrew Wantz,CU,3,9.839638322302585,8.410075911280119
Andrew Wantz,FC,21,10.843546608742411,8.267125960196374
Andrew Wantz,FF,27,11.04098783769817,10.659527265888793
Andrew Wantz,SI,15,11.920129257051347,12.53255361677722
Andrew Wantz,ST,10,12.860898723027667,14.26411499084001
Andrés Muñoz,ALL,688,14.138338506634991,9.791576407952334
Andrés Muñoz,CH,37,22.379958668436327,10.687740228079736
Andrés Muñoz,FF,267,10.985133644235221,9.090680997524863
Andrés Muñoz,SI,56,12.643771311619677,10.594932573294507
Andrés Muñoz,SL,328,16.092942668672464,10.403715096741871
Angel Chivilli,ALL,227,11.979381506727158,10.753945209432393
Angel Chivilli,CH,102,12.371100732064207,10.662877397520448
Angel Chivilli,FF,43,11.900271657519397,10.48553227497404
Angel Chivilli,SL,82,10.411027020812318,11.09854735734922
Angel Zerpa,ALL,160,9.597332406974726,8.939546293043687
Angel Zerpa,CH,9,12.219511501691468,7.944553599837457
Angel Zerpa,FF,10,11.61992658675695,8.183997518429175
Angel Zerpa,SI,110,9.214187365411398,8.87659777892258
Angel Zerpa,SL,31,12.191926976985977,11.039046271050914
Anthony Banda,ALL,514,11.63218750679734,11.133968923335201
Anthony Banda,CH,35,10.879859505092721,11.698212911243902
Anthony Banda,FF,129,10.383885812784264,8.988369974862547
Anthony Banda,SI,137,10.002036536066434,9.008278181728194
Anthony Banda,SL,213,14.738926120364424,13.13849026058929
Anthony Bender,ALL,508,11.787649893218703,10.182529884399905
Anthony Bender,CH,11,21.171098829196556,18.878875222721874
Anthony Bender,FF,7,14.896816377681887,13.348965716277249
Anthony Bender,SI,163,11.682163814282202,10.261173956841182
Anthony Bender,SL,64,13.581121605731553,10.386671556516468
Anthony Bender,ST,263,11.39713978747511,9.992066974535787
Anthony Kay,ALL,1735,10.552067986169266,9.09198612419111
Anthony Kay,CH,246,13.709172777520978,9.584342011625793
Anthony Kay,FC,282,9.95574724685138,8.409428905865624
Anthony Kay,FF,391,8.435960773736772,8.109133476894115
Anthony Kay,SI,305,8.023896353687787,7.3476991313086915
Anthony Kay,SL,120,11.803727039371585,10.989945464686922
Anthony Kay,ST,391,12.956221099941894,11.223904999162812
Anthony Molina,ALL,68,11.01537381721294,9.63530932451327
Anthony Molina,CH,17,11.06866385968221,9.608643717763618
Anthony Molina,CU,21,13.370036866499607,9.420657933749853
Anthony Molina,FF,24,8.718319388714079,9.730126916064059
Anthony Molina,SL,6,11.233318933612424,9.252960461736127
Anthony Nunez,ALL,673,11.570538967809105,10.831066885318775
Anthony Nunez,CH,156,14.948566494858232,13.019226310624967
Anthony Nunez,FC,32,10.559856340100337,9.722709878197817
Anthony Nunez,FF,185,10.277695716264422,10.302532382242026
Anthony Nunez,SI,96,9.946793720415593,9.514823523465193
Anthony Nunez,ST,204,11.529736662464899,11.017005935403743
Antoine Kelly,ALL,17,10.944437574864015,12.013962390707317
