pitcher,pitch_type,n,naive_in,inferred_in
A.J. Minter,ALL,144,11.076046211191674,9.921095836384668
A.J. Minter,CH,12,20.105654438892834,18.472924777513626
A.J. Minter,FC,69,12.46542396982244,10.410502754527553
A.J. Minter,FF,63,7.838649036983078,8.194408271833954
A.J. Puk,ALL,138,9.297363897811707,8.372370507049489
A.J. Puk,FF,86,8.046516131819523,8.331532527631637
A.J. Puk,SI,2,18.833775684717928,18.23009511401728
A.J. Puk,SL,50,11.672745903079393,8.702065591586285
AJ Blubaugh,ALL,498,11.726761662919838,10.503233807603262
AJ Blubaugh,CH,95,11.757819653638293,10.560478516649116
AJ Blubaugh,CU,17,17.203351623062517,14.60114267725261
AJ Blubaugh,FC,7,14.106604210633334,16.48897230942259
AJ Blubaugh,FF,273,11.942291412215368,10.194910028162603
AJ Blubaugh,ST,106,9.840815997181249,10.12814808665631
AJ Smith-Shawver,ALL,649,10.99163559061717,9.86701719339133
AJ Smith-Shawver,CU,101,12.662098711472927,11.991115217078095
AJ Smith-Shawver,FF,295,9.634752672607007,8.815866406380028
AJ Smith-Shawver,FS,224,13.469065267845266,10.55367988079593
AJ Smith-Shawver,SL,29,9.292055948504684,9.76594211810607
Aaron Ashby,ALL,1024,12.194337471273212,10.840187147472916
Aaron Ashby,CH,116,11.47859719980844,10.726570292183673
Aaron Ashby,CU,247,14.288403666550874,11.83163816087198
Aaron Ashby,FF,46,13.47994050776876,9.472464785587665
Aaron Ashby,SI,530,10.710508093545581,10.502325097099448
Aaron Ashby,SL,85,19.441076548735904,12.258847992565645
Aaron Bummer,ALL,793,12.558276093213554,10.266257759543118
Aaron Bummer,CU,283,14.704123012609992,10.653868449830568
Aaron Bummer,FF,100,9.581583418110535,9.24152392654221
Aaron Bummer,SI,266,10.538686242709225,9.59819015525336
Aaron Bummer,SL,4,19.59433130637418,17.026622426663003
Aaron Bummer,ST,140,13.215421446262225,11.154494057193125
Aaron Civale,ALL,1724,10.342460322812748,8.886789414665014
Aaron Civale,CU,337,10.436318880320455,9.819482749831293
Aaron Civale,FC,601,10.097376535903695,8.147607987117102
Aaron Civale,FF,274,11.682630512742229,9.257800654598658
Aaron Civale,FS,97,10.419666054821795,10.54534086799155
Aaron Civale,SI,282,11.088780228069659,9.000477047078608
Aaron Civale,SL,128,8.08861627040551,8.011022732250401
Aaron Civale,ST,5,10.343846580231984,9.483949205108285
Aaron Nola,ALL,1527,9.555780161209826,7.74883966224953
Aaron Nola,CH,234,10.557321151794582,7.930246288715467
Aaron Nola,FC,110,8.207903134294298,8.344320101011919
Aaron Nola,FF,462,8.399223928948519,7.105595157843565
Aaron Nola,KC,448,12.348099681700006,8.810688745235263
Aaron Nola,SI,273,8.424705194274315,7.500959508701977
Abner Uribe,ALL,1150,10.882630328334809,10.686174295002537
Abner Uribe,FF,25,10.660067064167428,11.656626347615335
Abner Uribe,SI,591,10.507405391945309,10.271025937516004
Abner Uribe,SL,534,11.684700164652343,10.93325025253942
Abraham Toro,ALL,10,17.000646413199664,16.149897785570925
Abraham Toro,EP,8,15.153152381063526,12.362838701870746
Abraham Toro,FA,2,23.973718623449464,21.22640156748953
Adam Mazur,ALL,458,13.237051222399254,9.934193868307183
Adam Mazur,CH,40,15.902264762292635,11.855726594019087
Adam Mazur,CU,48,17.335809110676337,10.909351837781703
Adam Mazur,FF,111,9.785576885432924,9.69395976299769
Adam Mazur,SI,71,13.206117209720267,9.258400531176482
Adam Mazur,SL,132,13.979628612950354,9.844006326643791
Adam Mazur,ST,56,12.753425835015591,10.126921566330775
Adam Ottavino,ALL,41,12.709033553307245,11.519855365170406
Adam Ottavino,FC,3,11.384156638868808,11.836035626093706
Adam Ottavino,FF,10,16.567351165024608,17.63006762330817
Adam Ottavino,SI,14,12.541260283307102,11.049821662581284
Adam Ottavino,ST,14,11.824665591473963,10.722866360408164
Adrian Houser,ALL,1786,9.739071503841636,9.016148416956437
Adrian Houser,CH,274,11.006207771434607,9.717537618160389
Adrian Houser,CU,209,13.365258405239352,12.507060395471598
Adrian Houser,FF,204,8.671440350787396,8.841795064043055
Adrian Houser,SI,818,8.55536790767776,8.223407568139667
Adrian Houser,SL,281,9.025391228569426,8.971310088272958
Adrian Morejon,ALL,985,10.042926494501286,9.003086994003553
Adrian Morejon,CH,69,11.06076017670243,11.560692132139769
Adrian Morejon,FC,31,10.409788883918669,10.15493126198702
Adrian Morejon,FF,31,12.566911942386067,10.54509917788447
Adrian Morejon,KN,4,45.32889359998807,15.561379382775904
Adrian Morejon,SI,609,9.768057986297025,8.323169492137236
Adrian Morejon,SL,241,10.149112098128679,10.117265062014159
Alan Rangel,ALL,171,12.168938243474548,11.538874763445362
Alan Rangel,CH,54,14.996055156553538,12.9695765148331
Alan Rangel,CU,9,13.0650479911768,7.028286552899634
Alan Rangel,FF,75,10.76992790674186,11.500426340572153
Alan Rangel,SL,33,11.912716809982726,11.079280231649333
Alan Trejo,ALL,14,12.23616272482956,11.720383722287298
Alan Trejo,CH,1,29.96920785477182,30.015526127960598
Alan Trejo,FA,13,10.530413896382074,10.364865282273621
Albert Suárez,ALL,160,11.72558359087823,10.284877318861131
Albert Suárez,CH,18,10.926080330058978,7.501901813615554
Albert Suárez,CU,22,18.56225497440472,13.315992699496082
Albert Suárez,FC,29,10.575899158163594,9.671365804736718
Albert Suárez,FF,72,9.921418480348446,9.778240959696426
Albert Suárez,SV,19,16.113416257124108,13.859142336130137
Alec Burleson,ALL,6,18.476762282490206,9.29527095830264
Alec Burleson,CH,6,18.476762282490206,9.29527095830264
Alek Jacob,ALL,513,11.140383319267144,9.287900286069483
Alek Jacob,CH,170,11.019240337317079,10.698875102464772
Alek Jacob,FF,216,10.782902813255905,8.131434398617289
Alek Jacob,SI,74,11.129542965351458,7.686132227123755
Alek Jacob,ST,53,16.482200815007776,12.62603630081821
Alex Carrillo,ALL,81,13.676573568095902,11.28382951537491
Alex Carrillo,FF,33,9.711755421192777,8.44951110480022
Alex Carrillo,FS,22,20.01693823004478,12.321918834315994
Alex Carrillo,SL,26,15.927979790114232,11.298022516779884
Alex Jackson,ALL,10,17.155835923578522,13.477461480721786
Alex Jackson,EP,1,18.1615445349036,19.838611760386865
Alex Jackson,FA,9,16.150127312253442,12.693422007622752
Alex Lange,ALL,20,15.675180643307264,9.733658968785353
Alex Lange,CH,3,23.982907681938062,10.383994830427858
Alex Lange,FF,2,7.688059915860565,7.957475111062726
Alex Lange,SI,3,7.063084960420897,3.098432455663102
Alex Lange,SL,12,17.66282956732404,10.816251036665044
Alex Vesia,ALL,1046,11.911854980185804,10.598727902069026
Alex Vesia,CH,65,13.370021185158564,10.97938745871165
Alex Vesia,FF,606,12.474366541438837,10.088142524017163
Alex Vesia,SL,375,10.963379056215185,10.989598572345342
Alexis Díaz,ALL,325,13.564094133452018,11.3035213211517
Alexis Díaz,FF,194,14.406015274417495,11.39807557883369
Alexis Díaz,SL,131,11.943980101997722,11.190689750219796
Ali Sánchez,ALL,11,14.320116886481587,11.035347072219473
Ali Sánchez,CS,10,14.302304262873307,10.457871236787078
Ali Sánchez,FA,1,15.70339123996377,11.113207801724888
Allan Winans,ALL,161,10.572618211005004,9.382159271404863
Allan Winans,CH,54,12.06087141002757,10.915047576947149
Allan Winans,CU,5,12.495696401418966,6.905770882580114
Allan Winans,FF,24,11.19982622730122,8.788230651266552
Allan Winans,SI,50,8.847933806018435,8.020994471712047
Allan Winans,ST,28,10.226035409441014,11.452411663541792
Amed Rosario,ALL,19,15.636997770980653,15.994972658501691
Amed Rosario,EP,17,18.119645947037835,16.876107801772683
Amed Rosario,FA,2,5.9372621021444,6.296259749366401
Andre Granillo,ALL,307,11.143307138267785,9.84565264079858
Andre Granillo,CH,15,14.984904437992135,11.348362020427924
Andre Granillo,FF,84,9.695583606044522,8.088684816812634
Andre Granillo,SI,4,12.533182672932814,11.339237910184629
Andre Granillo,SL,204,11.366268748827562,10.502716448850329
Andre Pallante,ALL,2518,11.350319990199637,10.389245472707218
Andre Pallante,FF,1128,9.498365325168624,9.45590833121009
Andre Pallante,KC,344,18.14512000556868,13.994456551115343
Andre Pallante,SI,334,11.913701754552477,9.840955810704015
Andre Pallante,SL,709,11.893538739756291,10.848750865908906
Andre Pallante,ST,3,23.870227281204922,19.406474372048493
Andrew Abbott,ALL,2454,9.529379259399947,8.97892739662657
Andrew Abbott,CH,484,9.597514589886233,8.883350904379341
Andrew Abbott,CU,272,10.326055189114452,9.931373438092557
Andrew Abbott,FC,106,8.161034384241983,8.681230172543932
Andrew Abbott,FF,1164,9.235691036931486,8.823033268255461
Andrew Abbott,ST,428,9.89485285572591,9.16731863536496
Andrew Alvarez,ALL,379,11.7627427409705,10.751327569599173
Andrew Alvarez,CH,20,12.137371451396309,8.120137571152092
Andrew Alvarez,CU,102,12.715004707304377,11.663620968029228
Andrew Alvarez,FF,132,11.152868781556109,10.38394514581147
Andrew Alvarez,SI,15,9.55301984089513,11.618340147595863
Andrew Alvarez,SL,110,12.256535321653658,10.704781781825684
Andrew Chafin,ALL,581,11.037509941022725,9.611759325452011
Andrew Chafin,CH,4,10.103783910274666,10.824149972098724
Andrew Chafin,FF,120,10.062480314086201,9.622114512185117
Andrew Chafin,SI,234,9.9181949050131,9.203972695098077
Andrew Chafin,SL,223,13.67404112476313,9.944982860477605
Andrew Heaney,ALL,1931,10.026544751258516,9.265447654291414
Andrew Heaney,CH,329,11.592455222953891,10.21766303819415
Andrew Heaney,CS,103,12.855560477712293,11.89509558491926
Andrew Heaney,CU,107,10.1692415242617,10.020551545818478
Andrew Heaney,FF,857,8.655468734172933,8.33784447753414
Andrew Heaney,SI,210,8.890022411292065,8.807727717234808
Andrew Heaney,SL,325,12.209995626244263,9.792724571638558
Andrew Hoffmann,ALL,242,12.359529496678054,10.519178032070013
Andrew Hoffmann,CH,115,14.650019466751267,11.700210726958517
Andrew Hoffmann,CU,6,9.763298140442554,7.482655104647685
Andrew Hoffmann,FF,101,11.062394016282738,10.168652427769013
Andrew Hoffmann,SL,20,11.455138125546483,9.380429808243314
Andrew Kittredge,ALL,830,9.828215156607442,8.818621381002442
Andrew Kittredge,FF,90,8.458368578751418,8.35700951087914
Andrew Kittredge,FS,7,20.40908055120553,11.330106451682004
Andrew Kittredge,SI,303,9.839135927194826,9.63136694128615
Andrew Kittredge,SL,430,9.944807448203932,8.640709548810904
Andrew Saalfrank,ALL,411,11.159251885384766,9.841621407901163
Andrew Saalfrank,CU,185,13.571447095023057,10.676955538785345
Andrew Saalfrank,FF,41,9.62848952873723,9.421030755427077
Andrew Saalfrank,SI,185,9.849410065692641,8.669082690033827
Andrew Walters,ALL,25,10.809045738009255,9.332617653017676
Andrew Walters,FF,16,11.780138430848353,8.510772349103245
Andrew Walters,SL,9,10.349809106852437,10.840964077155519
Andry Lara,ALL,249,10.982087085714536,10.179461024479815
Andry Lara,FF,112,11.55512196219743,10.654424572661622
Andry Lara,FS,15,8.365619219525314,9.430967831137687
